condition_key,condition_name,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,mean_confidence,mean_reliability,mean_branch_disagreement,mean_semantic_weight,mean_forensic_weight,gate_helped,gate_hurt
blur_recompress,Blur + Resize + JPEG,0.992,0.992,0.9979757085020243,0.986,0.9919517102615694,0.99959,0.9995584091464371,0.002,0.014,998,2,14,986,0.9901788758772873,0.9642725480692775,0.3450319835557246,0.6898764901906251,0.31012351058374044,7,10
clean,Clean,0.994,0.994,0.9969818913480886,0.991,0.9939819458375125,0.999738,0.9997396433035068,0.003,0.009,997,3,9,991,0.9903973719509961,0.9642725480692775,0.17890550859910087,0.6002082059532404,0.39979179491807737,8,5
filtered_repost,Filtered Repost,0.986,0.986,0.9969325153374233,0.975,0.9858442871587462,0.999645,0.9996477066319817,0.003,0.025,997,3,25,975,0.9874204606556782,0.9642725480692775,0.33165707825436974,0.6847275056093931,0.31527249499286697,5,19
full_laundering,Full Laundering,0.9795,0.9795,0.9989594172736732,0.96,0.9790922998470168,0.99937,0.9994080539528052,0.001,0.04,999,1,40,960,0.9838984147515445,0.9642725480692775,0.41637470563321166,0.7272683865725994,0.2727316133590502,7,30
noise_recompress,Noise + JPEG,0.972,0.972,0.9978902953586498,0.946,0.971252566735113,0.999421,0.9994398982570777,0.002,0.054,998,2,54,946,0.9677900916585097,0.9642725480692775,0.47971273299876815,0.6568060164749623,0.34319398324199485,3,5
repost_aggressive,Aggressive Repost,0.9875,0.9875,0.9979570990806946,0.977,0.9873673572511369,0.9996839999999999,0.9996874696894165,0.002,0.023,998,2,23,977,0.9881565050736362,0.9642725480692775,0.3234905321716982,0.6801142889261246,0.31988571248945663,5,17
repost_extreme,Extreme Repost,0.9805,0.9804999999999999,0.9989615784008308,0.962,0.9801324503311258,0.999519,0.999537657022672,0.001,0.038,999,1,38,962,0.9830411273629887,0.9642725480692775,0.41303810560239945,0.7253789258897304,0.2746210741181203,7,31
repost_mild,Mild Repost,0.993,0.993,0.9949799196787149,0.991,0.9929859719438878,0.9997619999999999,0.9997643544277784,0.005,0.009,995,5,9,991,0.9906337424123628,0.9642725480692775,0.2582934085144543,0.6442198149561882,0.35578018449165394,7,6
