condition_key,condition_name,corruption_type,severity,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,semantic_auroc,forensic_auroc,auroc_drop,accuracy_drop,f1_drop,auroc_retention,accuracy_retention,f1_retention,auroc_retention_pct,accuracy_retention_pct,f1_retention_pct
clean,Clean,clean,,0.9937296212691247,0.9937303724207348,0.9934607645875252,0.9939607448414696,0.9937106918238994,0.9998384499245093,0.9998402135882503,0.0065,0.006039255158530448,1987,13,12,1975,0.9996859587317564,0.9212000503271264,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0
jpeg_90,JPEG 90,jpeg,90.0,0.9932279909706546,0.9932303724207348,0.992462311557789,0.9939607448414696,0.9932109630374655,0.9998155510820332,0.9998180459218429,0.0075,0.006039255158530448,1985,15,12,1975,0.9996449421238047,0.9134175893306493,2.2898842476082315e-05,0.0005016302984700571,0.0004997287864338951,0.9999770974576164,0.9994952044422009,0.9994971083731456,99.99770974576164,99.94952044422008,99.94971083731457
jpeg_70,JPEG 70,jpeg,70.0,0.9949836970152998,0.9949836436839457,0.9949672873678913,0.9949672873678913,0.9949672873678913,0.9998648716658279,0.9998659505826141,0.005,0.0050327126321087065,1990,10,10,1977,0.9997138902868645,0.9246225465525919,-2.64217413186163e-05,-0.0012540757461750873,-0.001256595543991934,1.0000264260104426,1.0012619888944978,1.0012645486803464,100.00264260104426,100.12619888944978,100.12645486803464
jpeg_50,JPEG 50,jpeg,50.0,0.9929771758214196,0.9929803724207348,0.9919638372677047,0.9939607448414696,0.9929612870789342,0.9998047307498742,0.9998044503789203,0.008,0.006039255158530448,1984,16,12,1975,0.9995807750377452,0.9016129843985907,3.37191746351273e-05,0.0007524454477050302,0.0007494047449652097,0.9999662753771495,0.9992428066633013,0.9992458521870287,99.99662753771496,99.92428066633013,99.92458521870287
jpeg_30,JPEG 30,jpeg,30.0,0.9904690243290695,0.9904721942627076,0.9894525364138623,0.9914443885254152,0.9904474610356964,0.9996592853548062,0.9996577564107068,0.0105,0.008555611474584801,1979,21,17,1970,0.9993164318067439,0.8766260694514344,0.00017916456970312744,0.003260596940055205,0.0032632307882030087,0.9998208064815705,0.9967188288743059,0.996716115852378,99.98208064815705,99.67188288743058,99.6716115852378
blur_0_5,Blur σ=0.5,blur,0.5,0.9944820667168297,0.9944787367891293,0.9954614220877458,0.9934574735782586,0.9944584382871536,0.9998477604428787,0.9998497353375502,0.0045,0.006542526421741319,1991,9,13,1974,0.99970533467539,0.918269753397081,-9.310518369387566e-06,-0.0007524454477050302,-0.0007477464632542619,1.0000093120227274,1.0007571933366985,1.0007524790358064,100.00093120227274,100.07571933366985,100.07524790358065
blur_1,Blur σ=1.0,blur,1.0,0.9939804364183596,0.9939721942627076,0.9964592817400101,0.9914443885254152,0.9939455095862765,0.9998475088072472,0.999849017505782,0.0035,0.008555611474584801,1993,7,17,1970,0.9997038248616004,0.8885541016607951,-9.058882737833507e-06,-0.00025081514923497306,-0.00023481776237710417,1.0000090603464376,1.0002523977788995,1.0002363039507465,100.00090603464375,100.02523977788995,100.02363039507465
blur_2,Blur σ=2.0,blur,2.0,0.9902182091798345,0.9902042023150479,0.9944162436548223,0.9859084046300957,0.9901440485216073,0.9997048314041268,0.9997084067428914,0.0055,0.014091595369904378,1989,11,28,1959,0.9994851534977354,0.8023537996980372,0.00013361852038251687,0.003511412089290178,0.0035666433022920607,0.9998663598900477,0.9964664310954063,0.9964107830059212,99.98663598900477,99.64664310954063,99.64107830059213
resize_0_5,Resize ×0.5,resize,0.5,0.9934788061198896,0.9934771011575239,0.9939546599496222,0.9929542023150478,0.9934541792547835,0.9998238550578762,0.9998260718048466,0.006,0.007045797684952189,1988,12,14,1973,0.9996889783593357,0.8563590840463009,1.459486663313303e-05,0.0002508151492350841,0.0002565125691158521,0.9999854027751841,0.9997476022211004,0.9997418639336113,99.99854027751842,99.97476022211004,99.97418639336114
resize_0_25,Resize ×0.25,resize,0.25,0.9897165788813644,0.9897303724207348,0.9855289421157685,0.9939607448414696,0.9897268854923578,0.99970533467539,0.9997075863703719,0.0145,0.006039255158530448,1971,29,12,1975,0.9995163563160544,0.8694305485656768,0.00013311524911929773,0.004013042387760235,0.003983806331541606,0.9998668632426275,0.9959616355376073,0.9959909797043347,99.98668632426275,99.59616355376073,99.59909797043348
noise_0_02,Noise σ=0.02,noise,0.02,0.9869576122397793,0.98692476094615,0.9969183359013868,0.9768495218922999,0.9867819013726487,0.9995213890286865,0.9995310500145721,0.003,0.02315047810770005,1994,6,46,1941,0.9991859587317564,0.910461751383996,0.00031706089582284047,0.006772009029345383,0.0069287904512507215,0.9996828878746894,0.9931852599697123,0.9930273564446275,99.96828878746894,99.31852599697123,99.30273564446274
noise_0_05,Noise σ=0.05,noise,0.05,0.9867067970905443,0.9866813034725718,0.9943762781186094,0.9788626069451435,0.9865584580268831,0.9993132863613488,0.9993269364219592,0.0055,0.021137393054856568,1989,11,42,1945,0.9989262707599396,0.871021011575239,0.0005251635631605689,0.007022824178580356,0.007152233797016239,0.999474751582918,0.9929328621908128,0.992802498900471,99.9474751582918,99.29328621908128,99.2802498900471
noise_0_10,Noise σ=0.10,noise,0.1,0.981941309255079,0.9819002264720684,0.9943211151264842,0.9693004529441369,0.981651376146789,0.9990941117262204,0.9991263590231497,0.0055,0.03069954705586311,1989,11,61,1926,0.9987360342224458,0.8200767488676397,0.0007443381982888964,0.011788312014045621,0.012059315677110383,0.9992555415343898,0.9881373043917214,0.9878643595401231,99.92555415343898,98.81373043917215,98.7864359540123
color_20,Color Jitter ±20%,color_jitter,0.2,0.9914722849260096,0.9914820080523402,0.9884942471235618,0.9944640161046804,0.9914701455092825,0.9998002013085052,0.9998030209556846,0.0115,0.0055359838953195776,1977,23,11,1976,0.999612229491696,0.9194548314041268,3.824861600409957e-05,0.0022573363431150906,0.002240546314616898,0.9999617452039307,0.9977284199899041,0.9977452730125058,99.99617452039307,99.77284199899042,99.77452730125059
crop_80,Center Crop 80%,crop,0.8,0.9924755455229496,0.9924574735782588,0.9979643765903308,0.9869149471565174,0.9924089068825911,0.9998168092601912,0.9998155219792867,0.002,0.013085052843482638,1996,4,26,1961,0.999607196779064,0.9170118268746855,2.1640664318089975e-05,0.0012540757461750873,0.0013017849413082816,0.999978355839066,0.9987380111055022,0.9986899759134935,99.9978355839066,99.87380111055022,99.86899759134936
