condition_key,condition_name,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,mean_confidence,mean_reliability,mean_branch_disagreement,mean_semantic_weight,mean_forensic_weight,gate_helped,gate_hurt
blur_recompress,Blur + Resize + JPEG,0.81,0.81,0.984375,0.63,0.7682926829268293,0.960543,0.964838473641985,0.01,0.37,990,10,370,630,0.9377848747821991,0.8549053332225083,0.28474846523818664,0.6515823176950216,0.3484176823387388,5,25
clean,Clean,0.9795,0.9795,0.9761668321747765,0.983,0.979571499750872,0.998638,0.99862582151622,0.024,0.017,976,24,17,983,0.9806565382879344,0.8549053332225083,0.15670475904376938,0.5818221086263656,0.41817789089422147,4,7
filtered_repost,Filtered Repost,0.806,0.806,0.9826498422712934,0.623,0.762545899632803,0.9588720000000001,0.9616136598838387,0.011,0.377,989,11,377,623,0.9399055240823072,0.8549053332225083,0.27229010906953116,0.6440488876849413,0.35595111159517184,6,17
full_laundering,Full Laundering,0.744,0.744,0.9436363636363636,0.519,0.6696774193548387,0.90359,0.9101121500827881,0.031,0.481,969,31,481,519,0.9237632609596476,0.8549053332225083,0.33029236118695315,0.6802187334597111,0.31978126585209976,8,29
noise_recompress,Noise + JPEG,0.9425,0.9425,0.9752953813104189,0.908,0.9404453650958052,0.991815,0.992112844511497,0.023,0.092,977,23,92,908,0.9599713466839749,0.8549053332225083,0.18386011452660825,0.6034447715431451,0.3965552289055777,4,33
repost_aggressive,Aggressive Repost,0.8175,0.8175,0.9862174578866769,0.644,0.779189352692075,0.967015,0.9692878730094374,0.009,0.356,991,9,356,644,0.9395055430094944,0.8549053332225083,0.27863324695183744,0.6475772375464439,0.3524227627110631,8,19
repost_extreme,Extreme Repost,0.712,0.712,0.8785714285714286,0.492,0.6307692307692307,0.8337640000000001,0.8450883881555671,0.068,0.508,932,68,508,492,0.904872938202112,0.8549053332225083,0.42599969199464244,0.7400884978473187,0.2599115030070243,21,64
repost_mild,Mild Repost,0.8835,0.8835,0.9860583016476553,0.778,0.8697596422582449,0.983093,0.9837134733438472,0.011,0.222,989,11,222,778,0.9520070484118187,0.8549053332225083,0.2526740994118457,0.6294033361822367,0.37059666365386146,1,16
