condition_key,condition_name,branch,auroc,inverse_auroc,average_precision,accuracy,mean_real_score,mean_fake_score,median_real_score,median_fake_score,score_gap_fake_minus_real,fake_recall,real_specificity
blur_2,Blur σ=2,final,0.48858399999999996,0.5114160000000001,0.47256610075933053,0.52,0.41098558193658413,0.4336087494223816,0.1613655388355255,0.24338284879922867,0.022623167485797457,0.434,0.606
blur_2,Blur σ=2,base_fusion,0.446576,0.553424,0.4522076127295993,0.478,0.5385216620899737,0.4920878354869783,0.5476082265377045,0.5040716528892517,-0.04643382660299533,0.502,0.454
blur_2,Blur σ=2,semantic,0.582792,0.417208,0.5844351147790916,0.557,0.4664925807891137,0.5845172570060395,0.2603560090065002,0.9244137406349182,0.1180246762169258,0.59,0.524
blur_2,Blur σ=2,forensic,0.066304,0.933696,0.31648621165600854,0.141,0.8971302331537008,0.26754324537771756,0.9420596659183502,0.062321593984961454,-0.6295869877759832,0.258,0.024
clean,Clean,final,0.350272,0.6497280000000001,0.39967066185846123,0.455,0.16495857151101517,0.07060671120898146,0.0046380667481571,0.00038215504901015,-0.09435186030203371,0.066,0.844
clean,Clean,base_fusion,0.277956,0.722044,0.3706581578116236,0.4,0.3654978225356899,0.19417775546200575,0.28357999026775355,0.1300512254238128,-0.17132006707368416,0.098,0.702
clean,Clean,semantic,0.36590399999999995,0.634096,0.41383242408284066,0.465,0.14964743573312417,0.07924266073984396,1.4185744845462978e-07,2.600918352219095e-11,-0.07040477499328021,0.078,0.852
clean,Clean,forensic,0.027784000000000003,0.972216,0.30892139795035684,0.124,0.9642737102508545,0.27016924816463145,0.9789172112941742,0.0770971849560737,-0.6941044620862231,0.248,0.0
jpeg_30,JPEG 30,final,0.607748,0.39225200000000005,0.563483606331323,0.548,0.19573665248651168,0.29050923258350153,0.01047851564362645,0.047494355589151355,0.09477258009698986,0.282,0.814
jpeg_30,JPEG 30,base_fusion,0.571584,0.428416,0.5350876196472548,0.54,0.39459608821570874,0.45132835330814125,0.31503957509994507,0.412890762090683,0.05673226509243251,0.408,0.672
jpeg_30,JPEG 30,semantic,0.6578700000000001,0.34212999999999993,0.629861814103043,0.569,0.1752831703234266,0.31200808066358343,2.6567573740976513e-07,0.0016471592825837,0.13672491034015682,0.314,0.824
jpeg_30,JPEG 30,forensic,0.09987199999999999,0.900128,0.32131106800346265,0.275,0.9670375212430954,0.5212234280740377,0.9795790910720825,0.6098452508449554,-0.44581409316905773,0.55,0.0
resize_025,Resize ×0.25,final,0.621048,0.37895199999999996,0.5550553565463019,0.627,0.526751987342941,0.7478094098212023,0.5647571682929993,0.9453908801078796,0.2210574224782612,0.772,0.482
resize_025,Resize ×0.25,base_fusion,0.564416,0.43558399999999997,0.5228873482065395,0.56,0.6132763521522283,0.6721297530829906,0.6528502106666565,0.7338771522045135,0.0588534009307623,0.794,0.326
resize_025,Resize ×0.25,semantic,0.730134,0.26986600000000005,0.7101065505979951,0.643,0.5453232205871757,0.8257890522629137,0.8410060703754425,0.9998119473457336,0.2804658316757379,0.83,0.456
resize_025,Resize ×0.25,forensic,0.078268,0.921732,0.3228034897501041,0.182,0.9398487876951694,0.3504035280770622,0.9654037058353424,0.1558667719364166,-0.5894452596181072,0.36,0.004
