condition_key,condition_name,semantic_weight_all,forensic_weight_all,semantic_weight_real,forensic_weight_real,semantic_weight_fake,forensic_weight_fake,predicted_severity_real,predicted_severity_fake
blur_2,Blur σ=2,0.7406989674866199,0.25930103031241014,0.8013631516695022,0.19863684549904428,0.6800347833037377,0.319965215125776,0.6480252146720886,0.7826996210515499
clean,Clean,0.7953977468311787,0.20460225368474494,0.937001662671566,0.0629983350358088,0.6537938309907914,0.346206172333681,0.5899064595103264,0.5713785499930382
jpeg_30,JPEG 30,0.8394752658903599,0.16052473393376568,0.9239373183250428,0.0760626802453771,0.7550132134556771,0.24498678762215423,0.5760777583122253,0.6587515509128571
resize_025,Resize ×0.25,0.7537474185824394,0.2462525826940546,0.7744158676862717,0.22558413325925358,0.7330789694786072,0.2669210321288556,0.5980454169809818,0.8227460098266601
