generator,family,subcategory,fake_samples,comparison_samples,fake_recall,mean_fake_probability,mean_semantic_weight,mean_forensic_weight,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,condition_key,condition_name
imgs_bedroom,Diffusion_based,DDIM,1000,2000,0.009,0.015946189658493735,0.675266848385334,0.32473315189754065,0.4285,0.4285,0.055900621118012424,0.009,0.015503875968992248,0.280517,0.3659200759053143,0.152,0.991,848,152,991,9,clean,Clean
imgs_CC9K,Diffusion_based,DDIM,1000,2000,0.272,0.27697528248157127,0.6591991285085678,0.34080087132965853,0.5575,0.5575,0.634032634032634,0.272,0.3806857942617215,0.6198159999999999,0.5792359444627786,0.157,0.728,843,157,728,272,clean,Clean
imgs_bedroom,Diffusion_based,DDIM,1000,2000,0.249,0.2556804579864054,0.7724111250638962,0.22758887441729894,0.5275,0.5275000000000001,0.5620767494356659,0.249,0.34511434511434513,0.593225,0.5376430385490386,0.194,0.751,806,194,751,249,jpeg_30,JPEG 30
imgs_CC9K,Diffusion_based,DDIM,1000,2000,0.556,0.5406763803205092,0.6902041070759296,0.3097958941405559,0.683,0.683,0.7453083109919572,0.556,0.6368843069873997,0.741676,0.7091724260003373,0.19,0.444,810,190,444,556,jpeg_30,JPEG 30
imgs_CC9K,Diffusion_based,DDIM,1000,2000,0.694,0.6784003625738583,0.7042381870746612,0.2957618130530791,0.5665,0.5665,0.552988047808765,0.694,0.6155210643015521,0.555652,0.5462351814137876,0.561,0.306,439,561,306,694,resize_025,Resize ×0.25
imgs_bedroom,Diffusion_based,DDIM,1000,2000,0.818,0.786328945520465,0.7207453162074089,0.27925468379526863,0.6435,0.6435,0.6063750926612306,0.818,0.6964665815240528,0.634745,0.5619543606300871,0.531,0.182,469,531,182,818,resize_025,Resize ×0.25
imgs_CC9K,Diffusion_based,DDIM,1000,2000,0.431,0.4295896553543567,0.6922951047420501,0.3077048928627482,0.4965,0.49650000000000005,0.49597238204833144,0.431,0.4612092027822365,0.46884899999999996,0.4731965471027064,0.438,0.569,562,438,569,431,blur_2,Blur σ=2
imgs_bedroom,Diffusion_based,DDIM,1000,2000,0.499,0.4868172335443246,0.7108273380398751,0.28917266150809884,0.538,0.538,0.5412147505422994,0.499,0.5192507804370448,0.514796,0.4861132428481858,0.423,0.501,577,423,501,499,blur_2,Blur σ=2
