generation_family,fake_samples,fake_recall,mean_fake_probability,mean_semantic_weight,mean_forensic_weight,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,condition_key,condition_name
Diffusion_based,2000,0.1405,0.14646073607003252,0.6672329884469509,0.3327670116135996,0.4835,0.48350000000000004,0.44745222929936307,0.1405,0.21385083713850836,0.441395,0.45546978759098194,0.1735,0.8595,1653,347,1719,281,clean,Clean
Diffusion_based,2000,0.4025,0.3981784191534573,0.7313076160699129,0.26869238427892744,0.60325,0.6032500000000001,0.672514619883041,0.4025,0.5035971223021583,0.659117,0.619492224790398,0.196,0.5975,1608,392,1195,805,jpeg_30,JPEG 30
Diffusion_based,2000,0.756,0.7323646540471616,0.7124917516410351,0.2875082484241739,0.6065,0.6065,0.581986143187067,0.756,0.6576772509786863,0.5953787500000001,0.5520994298679036,0.543,0.244,914,1086,488,1512,resize_025,Resize ×0.25
Diffusion_based,2000,0.465,0.45820344444934064,0.7015612213909626,0.29843877718542355,0.52175,0.52175,0.5245346869712352,0.465,0.4929764113437583,0.497056375,0.48035537318047644,0.4215,0.535,1157,843,1070,930,blur_2,Blur σ=2
