condition_key,condition_name,corruption_type,severity,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,semantic_weight,forensic_weight,predicted_severity,auroc_drop,accuracy_drop,f1_drop,auroc_retention,accuracy_retention,f1_retention,auroc_retention_pct,accuracy_retention_pct,f1_retention_pct
clean,Clean,clean,,0.9939804364183596,0.993973829894313,0.9959575543203638,0.9919476597886261,0.9939485627836612,0.9997893809763463,0.9997824054904431,0.004,0.00805234021137393,1992,8,16,1971,0.603337922302858,0.39666207803577425,0.5632578701804927,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0
jpeg_90,JPEG 90,jpeg,90.0,0.9939804364183596,0.9939721942627076,0.9964592817400101,0.9914443885254152,0.9939455095862765,0.999778057372924,0.9997672052781948,0.0035,0.008555611474584801,1993,7,17,1970,0.6070256082596622,0.39297439202555456,0.5643842215148733,1.1323603422264128e-05,0.0,3.0531973846947835e-06,0.999988674011109,1.0,0.9999969282138945,99.9988674011109,100.0,99.99969282138946
jpeg_70,JPEG 70,jpeg,70.0,0.9939804364183596,0.9939721942627076,0.9964592817400101,0.9914443885254152,0.9939455095862765,0.9998553095118268,0.9998554340076444,0.0035,0.008555611474584801,1993,7,17,1970,0.6319909497688132,0.3680090507019287,0.5874481448291208,-6.592853548048616e-05,0.0,3.0531973846947835e-06,1.0000659424242095,1.0,0.9999969282138945,100.00659424242096,100.0,99.99969282138946
jpeg_50,JPEG 50,jpeg,50.0,0.9949836970152998,0.9949754655259184,0.9974709155285787,0.9924509310518369,0.9949545913218971,0.9995542274786109,0.9992762035860842,0.0025,0.00754906894816306,1995,5,15,1972,0.6651060142581673,0.33489398643699236,0.5961578573712975,0.0002351534977353964,-0.0010032605969401143,-0.001006028538235948,0.9997647969640308,1.0010093363613424,1.001012153521726,99.97647969640308,100.10093363613424,100.1012153521726
jpeg_30,JPEG 30,jpeg,30.0,0.9914722849260096,0.9914672873678914,0.9929328621908127,0.9899345747357826,0.9914314516129032,0.9991162556618017,0.9985628512704785,0.007,0.010065425264217413,1986,14,20,1967,0.6956364333270815,0.3043635665875816,0.5859487651507896,0.0006731253145445537,0.0025081514923500636,0.002517111170757924,0.9993267328825925,0.9974766590966441,0.9974675639514902,99.93267328825925,99.7476659096644,99.74675639514902
blur_0_5,Blur σ=0.5,blur,0.5,0.9939804364183596,0.9939721942627076,0.9964592817400101,0.9914443885254152,0.9939455095862765,0.9998098892803221,0.9998107314091442,0.0035,0.008555611474584801,1993,7,17,1970,0.6000396580677568,0.39996034230392835,0.5572730279339565,-2.0508303975819153e-05,0.0,3.0531973846947835e-06,1.0000205126243247,1.0,0.9999969282138945,100.00205126243247,100.0,99.99969282138946
blur_1,Blur σ=1.0,blur,1.0,0.9927263606721846,0.9927140161046805,0.9964503042596349,0.9889280322093609,0.9926749179085628,0.9997856064418722,0.9997867633368235,0.0035,0.011071967790639155,1993,7,22,1965,0.6224143638971428,0.37758563595450856,0.5635999906383005,3.7745344740880427e-06,0.0012540757461750873,0.0012736448750984009,0.9999962246703696,0.998738329548322,0.9987186008182038,99.99962246703696,99.8738329548322,99.87186008182039
blur_2,Blur σ=2.0,blur,2.0,0.9877100576874843,0.9876763965777554,0.9979445015416238,0.9773527931555108,0.9875413170607679,0.9995986411675892,0.9996029088400199,0.002,0.02264720684448918,1996,4,45,1942,0.6688770060853788,0.33112299385631133,0.587623098544199,0.00019073980875705665,0.006270378730875326,0.006407245722893307,0.9998092200093476,0.9936916477416099,0.9935537451707268,99.98092200093475,99.36916477416099,99.35537451707268
resize_0_5,Resize ×0.5,resize,0.5,0.9934788061198896,0.9934721942627076,0.9954522486104093,0.9914443885254152,0.9934442763489663,0.9997492450931053,0.9997474118349085,0.0045,0.008555611474584801,1991,9,17,1970,0.6409950794314333,0.35900491974280935,0.574649432584819,4.0135883241032566e-05,0.0005016302984700571,0.0005042864346949116,0.9999598556615976,0.9994953318193288,0.9994926433282597,99.99598556615976,99.94953318193288,99.94926433282598
resize_0_25,Resize ×0.25,resize,0.25,0.9917231000752446,0.9917238298943131,0.9914486921529175,0.9919476597886261,0.9916981132075472,0.999418344237544,0.9991447538488237,0.0085,0.00805234021137393,1983,17,16,1971,0.6658981973616019,0.33410180271195333,0.5905838716454693,0.00037103673880223287,0.0022573363431150906,0.0022504495761139776,0.9996288850973393,0.9977289931869796,0.9977358490566037,99.96288850973393,99.77289931869797,99.77358490566037
noise_0_02,Noise σ=0.02,noise,0.02,0.9794331577627289,0.9793740563663815,0.9973890339425587,0.961248112732763,0.9789851358277806,0.9994066431806743,0.9994116666538322,0.0025,0.038751887267237044,1995,5,77,1910,0.6381681817858208,0.3618318180448412,0.545811364487475,0.0003827377956719946,0.014547278655630769,0.014963426955880599,0.9996171815754852,0.9853646227605349,0.9849454715101414,99.96171815754852,98.5364622760535,98.49454715101415
noise_0_05,Noise σ=0.05,noise,0.05,0.9801856032104339,0.9801305988928033,0.996875,0.9632611977856065,0.9797798822626056,0.9991227981882235,0.9991583214957199,0.003,0.03673880221439356,1994,6,73,1914,0.6729836882371666,0.32701631178759394,0.5780365929317738,0.0006665827881228159,0.013794833207925739,0.014168680521055577,0.9993332767872851,0.9861216250315418,0.985745056583839,99.93332767872852,98.61216250315418,98.5745056583839
noise_0_10,Noise σ=0.10,noise,0.1,0.9729119638826185,0.9728298943130347,0.9978802331743508,0.9476597886260695,0.9721218378936499,0.9986197785606442,0.9987291040703565,0.002,0.05234021137393055,1996,4,104,1883,0.7159602267418644,0.2840397734605411,0.5851793492501142,0.0011696024157020757,0.02106847253574118,0.02182672489001125,0.9988301511918841,0.9788039364118092,0.9780403878960465,99.88301511918841,97.88039364118092,97.80403878960465
color_20,Color Jitter ±20%,color_jitter,0.2,0.9927263606721846,0.9927205586311022,0.9944444444444445,0.9909411172622044,0.9926896899420217,0.9997418218419728,0.9997420176222276,0.0055,0.009058882737795673,1989,11,18,1969,0.6072388944513433,0.39276110615190973,0.5643302344396833,4.755913437348713e-05,0.0012540757461750873,0.0012588728416395023,0.9999524308466579,0.998738329548322,0.9987334627879395,99.99524308466579,99.8738329548322,99.87334627879395
crop_80,Center Crop 80%,crop,0.8,0.9882116879859544,0.9881796678409662,0.997946611909651,0.9783593356819326,0.9880559085133418,0.9997517614494212,0.999744873301015,0.002,0.021640664318067437,1996,4,43,1944,0.6130632763522473,0.3869367234532855,0.5533075612650379,3.7619526925047886e-05,0.0057687484324052685,0.005892654270319375,0.9999623725480178,0.9941963159222812,0.994071469600181,99.99623725480178,99.41963159222811,99.4071469600181
